hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,st_prot,
55 Cnc,e,Eclipse,GO,2084,1,2,Executed,GTS,GRISMR+F444W,SUBGRISM64,RAPID,2,11/20/22 18:58,11/21/22 0:15,6.25,Brandeker,12,08 52 35.2410 +28 19 47.34,4.015,12.59,5250,0.905,0.964,4.425,0.7365462,0.016,84.65,0.025,0.172,24.24,7.52,1983.8,0,1.6,309.73,37.28,X,0.35,38.8,
AU Mic,b,Transit,GO,5311,3,4,Executed,GTS,GRISMR+F444W,SUBGRISM64,BRIGHT1,2,5/31/25 5:26,5/31/25 17:01,12.72,Feinstein,6,20 45 9.8838 -31 20 33.00,4.529,9.72,3700,0.5,0.75,4.404,8.46308,0.064,89.5,0.053,0.363,11.5,1.69,608.4,0.3,3.5,557.72,2.37,X,0.18,4.86,
BD+05 4868 A,b,PhaseC,GO,8739,4,1,Implementation,LRS,X,SLITLESSPRISM,FASTR1,16,X,X,43.66,Hon,12,21 47 26.7438 +06 36 19.20,7.448,43.57,4596,0.7,0.69,4.6,1.271869,0.021,-1,0.02,-1,-1,-1,1276.5,1.4,-1,-1,-1,"Oct 9, 2025 - Oct 9, 2025 (2025.282 - 2025.282)",-0.05,,
GJ 1132,b,Transit,GO,1981,1,21,Executed,BOTS,G395H,SUB2048,NRSRAPID,14,3/5/23 11:35,3/5/23 15:58,4.62,Stevenson,0,10 14 50.1768 -47 09 17.77,8.322,12.61,3270,0.181,0.216,4.881,1.6289302,0.015,88.16,0.005,0.106,12.86,6.48,591.6,0.2,0.8,44.36,0.44,X,-0.12,122.3,
GJ 1214,b,Transit,GTO,1185,1,19,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,7/19/23 20:15,7/20/23 2:08,6.37,Greene,12,17 15 19.5552 +04 57 38.07,8.782,14.64,3026,0.157,0.211,5,1.5804046,0.015,88.94,0.02,0.24,9.86,2.2,549.1,1.3,0.9,680.55,1.24,X,0.1,124.7,
GJ 3090,b,Transit,GO,4098,2,11,Skipped,SOSS,X,SUBSTRIP256,NISRAPID,2,X,X,5.19,Benneke,0,01 21 45.2173 -46 42 53.04,7.294,22.48,3629.5,0.519,0.518,4.745,2.8531035,0.032,87.14,0.011,0.185,8.69,2.51,708,0.1,1.2,252.99,1.03,X,-0.06,,
GJ 341,b,Transit,GO,1981,1,31,Executed,GTS,GRISMR+F444W,SUBGRISM128,BRIGHT1,3,3/10/23 7:40,3/10/23 14:11,7.1,Stevenson,0,09 21 35.8504 -60 16 52.21,5.587,10.45,3768,0.48,0.518,4.74,7.5768467,0.059,89.24,0.013,0.078,58.68,40.27,538,0,2.2,3.96,0.05,X,-0.16,,
GJ 3470,b,Eclipse,GTO,1201,1,10,Executed,BOTS,G395H,SUB2048,NRSRAPID,10,11/4/23 6:25,11/4/23 12:30,6.45,Lafreniere,12,07 59 5.6405 +15 23 28.35,7.989,29.42,3600,0.524,0.5,4.738,3.3366496,0.036,88.88,0.044,0.37,9.05,1.31,651.3,0.6,1.9,353.73,1.9,X,0.2,21.5,
GJ 3473,b,Eclipse,GO,3730,2,1,Executed,F1500W,X,SUB256,FASTR1,39,3/12/24 10:47,3/12/24 14:59,4.78,Diamond-Lowe,12,08 02 22.4521 +03 20 13.60,8.829,27.36,3339.5,0.36,0.359,4.863,1.1980015,0.016,87.95,0.006,0.11,13.61,6.6,765.7,0.1,1,16.1,0.69,X,0.11,168.3,
GJ 357,b,Transit,GO,2512,1,7,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,12/4/23 4:52,12/4/23 10:16,6.22,Batalha,0,09 36 1.7915 -21 39 54.23,6.475,9.44,3505,0.342,0.337,4.94,3.9306128,0.036,89.12,0.006,0.109,13.92,6.86,520.7,0.1,1.3,35.38,0.14,X,-0.12,77.8,
GJ 367,b,PhaseC,GO,2508,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,5,2/22/23 2:33,2/22/23 16:13,15.84,Zhang,12,09 44 29.1514 -45 46 44.46,5.78,9.41,3522,0.454,0.458,4.777,0.3219233,0.007,80.32,0.002,0.064,12.81,10.7,1364.5,0,0.6,44.31,6.71,X,-0.01,51.3,
GJ 3929,X,Eclipse,DD,9235,3,5,On Hold (Inactive),F1500W,X,SUB128,FASTR1,47,X,X,3.18,Espinoza,0,15 58 18.6104 +35 24 29.37,7.869,15.81,3384,0.313,0.32,4.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Jan 31, 2026 - Jan 31, 2026 (2026.031 - 2026.031)",-999,122,
GJ 436,b,Eclipse,GTO,1185,1,15,Executed,GTS,GRISMR+F444W,SUBGRISM64,BRIGHT2,5,12/7/23 22:26,12/8/23 4:36,6.58,Greene,12,11 42 12.1620 +26 42 10.63,6.073,9.75,3456,0.452,0.448,4.804,2.6438975,0.029,86.7,0.073,0.368,15.28,2.22,657.9,0.6,1,634.67,6.52,X,-0.03,44.1,
GJ 486,b,Transit,GO,1981,1,12,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,12/29/22 19:55,12/30/22 0:47,5.19,Stevenson,0,12 47 55.5675 +09 44 57.91,6.362,8.07,3307,0.323,0.33,4.89,1.4671198,0.017,88.9,0.009,0.117,18.28,8.34,699.4,0.1,1,43,1.72,X,-0.15,130.1,
GJ 806,b,Eclipse,GO,4931,3,3,Executed,LRS,X,SLITLESSPRISM,FASTR1,5,6/14/25 10:10,6/14/25 14:59,4.99,Weiner Mansfield,12,20 45 4.0992 +44 29 56.65,6.533,12.04,3586.5,0.413,0.422,4.892,0.9263237,0.014,87.7,0.006,0.134,9.4,3.75,947.7,0.1,0.9,73.1,5.63,X,-0.28,41.4,
GJ 9827,d,Transit,GO,4098,2,9,Skipped,BOTS,G395H,SUB2048,NRSRAPID,4,X,X,5.09,Benneke,0,23 27 5.2388 -01 17 7.13,7.193,29.66,4255,0.62,0.602,4.68,6.2014698,0.056,87.44,0.01,0.18,8.98,2.66,671.8,0.1,1.2,175.62,0.41,X,-0.29,28.2,
HAT-P-1,b,Eclipse,GTO,1201,1,4,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,7/12/22 22:39,7/13/22 6:21,8.37,Lafreniere,12,22 57 45.9200 +38 40 27.20,8.858,158.98,5980,1.133,1.142,4.382,4.4652991,0.055,85.9,0.527,1.297,8.89,0.37,1310.7,1.4,2.8,292.8,39.56,X,0.13,,
HAT-P-11,b,Transit,GO,4105,2,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,7/13/24 17:54,7/14/24 0:42,7.1,Alderson,12,19 50 50.4423 +48 04 54.71,7.009,37.76,4777.6,0.81,0.755,4.59,4.8878027,0.053,89.36,0.081,0.43,12.42,1.55,869.5,0.4,2.4,247.39,5.89,X,0.31,30.5,
HAT-P-12,b,Transit,GTO,1281,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,150,6/7/23 9:21,6/7/23 16:54,8.29,Lagage,12,13 57 33.2749 +43 29 35.92,10.108,142.75,4650,0.733,0.701,4.61,3.2130584,0.038,89,0.209,0.959,6.46,0.36,958.3,2.1,2.3,325.59,13.61,X,-0.29,,
HAT-P-13,b,Transit,GO,8233,4,1,Implementation,SOSS,X,SUBSTRIP256,NISRAPID,3,X,X,9.81,Miguel,12,08 39 31.8072 +47 21 7.27,8.975,246.81,5653,1.22,1.56,4.13,2.9162419,0.043,83.4,0.891,1.384,13.18,0.51,1643.8,0.7,3.3,134.26,50.64,"Mar 14, 2026 - Mar 14, 2026 (2026.073 - 2026.073)",0.41,,
HAT-P-14,b,Transit,COM,1541,0,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,6,6/8/22 5:44,6/8/22 13:24,7.07,Espinoza,12,17 20 27.8812 +38 14 31.81,8.851,222.66,6600,1.386,1.499,4.25,4.6276665,0.061,83.5,2.28,1.2,44.88,2,1582.7,0.6,2.2,37.76,31.28,X,0.11,,
HAT-P-18,b,Transit,COM,2734,0,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,9,6/13/22 3:11,6/13/22 11:59,8.18,Pontoppidan,12,17 05 23.1302 +33 00 44.37,10.234,161.4,4803,0.77,0.749,4.579,5.5080287,0.056,88.79,0.196,0.976,5.85,0.32,847.8,2.2,2.7,267.61,6.09,X,0.1,,
HAT-P-26,b,Eclipse,GTO,1312,1,6,Executed,LRS,X,SLITLESSPRISM,FASTR1,115,6/17/23 4:59,6/17/23 13:28,9.5,Lewis,12,14 12 37.5735 +04 03 33.83,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,
HAT-P-30,b,Transit,GO,3838,2,5,Executed,BOTS,G395H,SUB2048,NRSRAPID,26,3/10/24 22:20,3/11/24 6:02,8.33,Kirk,12,08 15 47.9623 +05 50 12.72,9.151,213.98,6304,1.242,1.215,4.36,2.810601,0.042,83.6,0.733,1.427,10.2,0.38,1636.9,1.1,2.2,270.81,69.01,X,0.13,,
HAT-P-32,b,Transit,GO,7849,4,3,Implementation,LRS,X,SLITLESSPRISM,FASTR1,154,X,X,9.47,Moran,12,02 04 10.2774 +46 41 16.21,9.99,289.2,6207,1.16,1.219,4.33,2.1500082,0.034,88.94,0.81,1.789,7.17,0.21,1784.7,2.3,3.1,355.4,95.09,"Dec 21, 2025 - Dec 22, 2025 (2025.355 - 2025.356)",-0.04,,
HAT-P-65,b,Transit,GO,3969,2,4,Executed,BOTS,PRISM,SUB512,NRSRAPID,3,6/9/24 10:13,6/9/24 22:04,13.16,Espinoza,12,21 03 37.3175 +11 59 21.72,11.528,738.52,5835,1.212,1.86,3.983,2.6054475,0.04,84.2,0.54,1.611,5.9,0.2,1919.5,1.1,4.3,88.49,21.56,X,0.1,,
HATS-6,b,Transit,GO,3171,2,7,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,1/21/24 18:15,1/22/24 1:25,7.61,Kanodia,0,05 52 35.2367 -19 01 53.97,11.224,169.32,3724,0.574,0.57,4.683,3.3252709,0.036,88.21,0.319,1.012,8.83,0.47,712.3,3.4,2,168.99,4.11,X,0.2,,
HATS-72,b,Transit,GO,2594,1,1,Executed,BOTS,G395M,SUB2048,NRSRAPID,18,11/14/23 23:30,11/15/23 7:06,8.37,Spake,12,22 36 6.2016 -17 00 1.10,9.764,127.59,4656.1,0.731,0.721,4.585,7.3279485,0.067,89.56,0.125,0.785,5.77,0.39,739.4,1.4,3,254.14,2.59,X,0.1,48.7,
HATS-75,b,Transit,GO,3171,2,9,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,8/9/24 17:38,8/10/24 0:40,7.38,Kanodia,0,04 03 47.8393 -25 24 32.09,11.584,194.96,3722.2,0.602,0.586,4.561,2.7886548,0.033,88.07,0.491,0.873,18.26,1.12,759.3,2.6,1.9,60.24,3.59,X,0.52,35,
HD 106315,c,Transit,GO,2950,2,2,Executed,LRS,X,SLITLESSPRISM,FASTR1,19,6/13/24 0:21,6/13/24 12:52,14.17,Waters,12,12 13 53.3938 -00 23 36.37,7.853,109.35,6290,1.079,1.277,4.251,21.057175,0.153,88.75,0.047,0.386,8.9,1.23,876.5,0.1,4.7,73.99,0.78,X,-0.26,,
HD 149026,b,Transit,GTO,1274,1,4,Executed,GTS,GRISMR+F322W2,SUBGRISM64,BRIGHT2,5,7/14/22 23:39,7/15/22 9:12,10.53,Lunine,12,16 30 29.6185 +38 20 50.31,6.819,75.86,6160,1.3,1.45,4.278,2.8758911,0.043,84.55,0.358,0.74,18.5,1.34,1722.3,0.3,3.2,167.42,45.46,X,0.36,,
HD 15337,c,Transit,GO,2512,1,18,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,7/24/23 4:05,7/24/23 10:39,7.8,Batalha,0,02 27 28.2923 -27 38 10.02,7.044,44.82,5131,0.851,0.848,4.428,17.179473,0.125,88.41,0.026,0.219,15.06,3.68,644.2,0.1,2.2,65.71,0.18,X,0.03,36.6,
HD 189733,b,Transit,GO,1633,1,5,Executed,GTS,GRISMR+F444W,SUBGRISM64,BRIGHT1,4,8/25/22 6:56,8/25/22 14:10,7.85,Deming,12,20 00 43.7093 +22 42 35.19,5.541,19.76,5031.5,0.828,0.766,4.582,2.2185752,0.031,85.71,1.144,1.139,24.99,1.17,1204.9,2.3,1.8,861.48,299.93,X,-0.03,12,
